name,origin1,year1,origin2,year2,origin3,year3
USA,Mexico,10853105,India,2723764,China,2184110
Germany,Poland,2141722,Turkey,1837282,Russia,1198831
Saudi Arabia,India,2502337,Indonesia,1709318,Pakistan,1483737
Russia,Ukraine,3268263,Kazakhstan,2558907,Uzbekistan,1146175
UK,Poland,835975,India,835359,Pakistan,537047
UAE,India,3471300,Bangladesh,1095231,Pakistan,996288
France,Algeria,1637211,Morocco,1059918,Portugal,639888
Canada,India,720083,China,699190,Philippines,633547
Australia,UK,1285149,China,653232,New Zealand,611266
Spain,Morocco,785884,Romania,613336,Colombia,450377